0;1;2
0;1;6
0;2;12
0;6;18
0;12;24
0;18;28
0;24;29
0;28;29
1;2;30
1;2;79
1;6;30
1;6;83
1;30;79
1;30;83
2;12;36
2;12;50
2;12;91
2;30;31
2;31;36
2;36;50
2;50;84
2;79;84
2;79;91
2;84;91
6;18;42
6;18;58
6;18;99
6;30;35
6;35;42
6;42;58
6;58;90
6;83;90
6;83;99
6;90;99
12;24;50
12;24;127
12;36;50
12;36;100
12;50;91
12;100;109
12;109;118
12;118;127
18;28;58
18;28;135
18;42;58
18;42;108
18;58;99
18;108;117
18;117;126
18;126;135
24;29;73
24;29;78
24;29;143
24;50;66
24;66;73
24;73;78
24;78;136
24;127;136
24;127;143
24;136;143
28;29;77
28;29;78
28;29;147
28;58;72
28;72;77
28;78;142
28;135;142
28;135;147
28;142;147
29;73;78
29;73;144
29;77;78
29;77;146
29;78;143
29;78;147
29;144;145
29;144;146
29;145;146
30;31;79
30;31;218
30;35;83
30;35;224
30;79;217
30;83;217
30;217;218
30;217;224
31;36;79
31;36;91
31;36;218
31;91;218
35;42;83
35;42;99
35;42;224
35;99;224
36;50;91
36;50;100
36;79;225
36;100;225
36;218;225
42;58;99
42;58;108
42;83;233
42;108;233
42;224;233
50;66;127
50;66;281
50;84;100
50;91;252
50;100;252
50;127;252
50;252;281
58;72;135
58;72;289
58;90;108
58;99;262
58;108;262
58;135;262
58;262;289
66;73;127
66;73;143
66;73;281
66;143;281
72;77;135
72;77;147
72;77;289
72;147;289
73;78;143
73;78;144
73;127;290
73;144;290
73;281;290
77;78;146
77;78;147
77;135;296
77;146;296
77;289;296
78;136;144
78;142;146
78;143;297
78;144;297
78;146;297
78;147;297
79;84;218
79;91;225
79;217;218
79;218;225
83;90;224
83;99;233
83;217;224
83;224;233
84;91;218
84;100;218
90;99;224
90;108;224
91;218;225
91;225;252
99;224;233
99;233;262
100;109;252
100;218;234
100;225;252
100;234;252
108;117;262
108;224;242
108;233;262
108;242;262
109;118;252
117;126;262
118;127;252
126;135;262
127;136;281
127;143;290
127;252;281
127;281;290
135;142;289
135;147;296
135;262;289
135;289;296
136;143;281
136;144;281
142;146;289
142;147;289
143;281;290
143;290;297
144;145;297
144;146;297
144;281;291
144;290;297
144;291;297
145;146;297
146;289;295
146;295;297
146;296;297
147;289;296
147;296;297
217;218;367
217;224;371
217;367;436
217;371;436
218;225;367
218;225;379
218;234;310
218;310;379
218;367;379
224;233;371
224;233;387
224;242;318
224;318;387
224;371;387
225;252;379
225;252;456
225;367;372
225;372;379
225;372;456
233;262;387
233;262;464
233;371;378
233;378;387
233;378;464
234;252;310
242;262;318
252;281;415
252;310;379
252;379;456
252;415;456
262;289;423
262;318;387
262;387;464
262;423;464
281;290;415
281;290;431
281;291;362
281;362;431
281;415;431
289;295;366
289;296;423
289;296;435
289;366;435
289;423;435
290;297;431
290;297;484
290;415;424
290;424;431
290;424;484
291;297;362
295;297;366
296;297;435
296;297;484
296;423;430
296;430;435
296;430;484
297;362;431
297;366;435
297;431;484
297;435;484
367;372;437
367;379;437
367;379;442
367;436;437
367;436;485
367;436;486
367;437;485
367;442;485
367;442;486
371;378;441
371;387;441
371;387;448
371;436;441
371;436;485
371;436;490
371;448;485
371;448;490
372;379;437
372;437;456
372;437;486
372;456;486
378;387;441
378;441;464
378;441;490
378;464;490
379;437;496
379;442;456
379;456;496
387;441;502
387;448;464
387;464;502
415;424;472
415;431;472
415;431;479
415;456;472
415;456;496
415;456;508
415;472;496
415;479;496
415;479;508
423;430;478
423;435;478
423;435;483
423;464;478
423;464;502
423;464;512
423;478;502
423;483;502
423;483;512
424;431;472
424;472;484
424;472;508
424;484;508
430;435;478
430;478;484
430;478;512
430;484;512
431;472;513
431;479;484
431;484;513
435;478;513
435;483;484
435;484;513
436;437;485
436;437;487
436;441;485
436;441;489
436;485;486
436;485;490
436;487;488
436;487;489
436;488;489
437;456;496
437;485;486
437;487;496
441;464;502
441;485;490
441;489;502
442;456;486
442;456;487
442;485;487
448;464;489
448;464;490
448;485;489
456;472;496
456;472;503
456;486;491
456;486;496
456;487;497
456;491;503
456;496;508
456;497;503
464;478;502
464;478;507
464;489;501
464;490;495
464;490;502
464;495;507
464;501;507
464;502;512
472;484;513
472;496;508
472;503;513
478;484;513
478;502;512
478;507;513
479;484;503
479;484;508
479;496;503
483;484;507
483;484;512
483;502;507
484;503;510
484;507;510
484;508;510
484;508;513
484;512;513
485;486;514
485;487;514
485;489;514
485;490;514
486;491;514
486;496;514
487;488;514
487;489;514
487;496;514
487;497;514
488;489;514
489;501;514
489;502;514
490;495;514
490;502;514
491;503;514
495;507;514
496;503;514
496;508;514
497;503;514
501;507;514
502;507;514
502;512;514
503;510;514
503;513;514
507;510;514
507;513;514
508;510;514
508;513;514
512;513;514
